ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
AFG,Afghanistan,0.663507268                    ,0.663507268                    ,0.663507268                    ,0.663507268                    ,0.663507268                    ,0.663507268                    ,0.663507268                    ,0.663507268                    ,0.663507268                    ,0.663507268                    ,0.663507268                    ,0.663507268                    ,0.663507268                    ,0.663507268                    ,0.663507268                    ,0.663507268                    ,0.663507268                    ,0.663507268                    ,0.663507268                    ,0.663507268                    
ALB,Albania,0.015085264                    ,0.015085264                    ,0.015085264                    ,0.015085264                    ,0.015085264                    ,0.015085264                    ,0.015085264                    ,0.015085264                    ,0.015085264                    ,0.015085264                    ,0.015085264                    ,0.015085264                    ,0.015085264                    ,0.015085264                    ,0.015085264                    ,0.015085264                    ,0.015085264                    ,0.015085264                    ,0.015085264                    ,0.015085264                    
DZA,Algeria,0.352556731                    ,0.352556731                    ,0.352556731                    ,0.352556731                    ,0.352556731                    ,0.352556731                    ,0.352556731                    ,0.352556731                    ,0.352556731                    ,0.352556731                    ,0.352556731                    ,0.352556731                    ,0.352556731                    ,0.352556731                    ,0.352556731                    ,0.352556731                    ,0.352556731                    ,0.352556731                    ,0.352556731                    ,0.352556731                    
AND,Andorra,0.164636468                    ,0.164636468                    ,0.164636468                    ,0.164636468                    ,0.164636468                    ,0.164636468                    ,0.164636468                    ,0.164636468                    ,0.164636468                    ,0.164636468                    ,0.164636468                    ,0.164636468                    ,0.164636468                    ,0.164636468                    ,0.164636468                    ,0.164636468                    ,0.164636468                    ,0.164636468                    ,0.164636468                    ,0.164636468                    
AGO,Angola,1.056269461                    ,1.056269461                    ,1.056269461                    ,1.056269461                    ,1.056269461                    ,1.056269461                    ,1.056269461                    ,1.056269461                    ,1.056269461                    ,1.056269461                    ,1.056269461                    ,1.056269461                    ,1.056269461                    ,1.056269461                    ,1.056269461                    ,1.056269461                    ,1.056269461                    ,1.056269461                    ,1.056269461                    ,1.056269461                    
ATG,Antigua and Barbuda,0.235388748                    ,0.235388748                    ,0.235388748                    ,0.235388748                    ,0.235388748                    ,0.235388748                    ,0.235388748                    ,0.235388748                    ,0.235388748                    ,0.235388748                    ,0.235388748                    ,0.235388748                    ,0.235388748                    ,0.235388748                    ,0.235388748                    ,0.235388748                    ,0.235388748                    ,0.235388748                    ,0.235388748                    ,0.235388748                    
ARG,Argentina,0.189560118                    ,0.189560118                    ,0.189560118                    ,0.189560118                    ,0.189560118                    ,0.189560118                    ,0.189560118                    ,0.189560118                    ,0.189560118                    ,0.189560118                    ,0.189560118                    ,0.189560118                    ,0.189560118                    ,0.189560118                    ,0.189560118                    ,0.189560118                    ,0.189560118                    ,0.189560118                    ,0.189560118                    ,0.189560118                    
ARM,Armenia,-0.014654764                    ,-0.014654764                    ,-0.014654764                    ,-0.014654764                    ,-0.014654764                    ,-0.014654764                    ,-0.014654764                    ,-0.014654764                    ,-0.014654764                    ,-0.014654764                    ,-0.014654764                    ,-0.014654764                    ,-0.014654764                    ,-0.014654764                    ,-0.014654764                    ,-0.014654764                    ,-0.014654764                    ,-0.014654764                    ,-0.014654764                    ,-0.014654764                    
AUS,Australia,0.317061399                    ,0.317061399                    ,0.317061399                    ,0.317061399                    ,0.317061399                    ,0.317061399                    ,0.317061399                    ,0.317061399                    ,0.317061399                    ,0.317061399                    ,0.317061399                    ,0.317061399                    ,0.317061399                    ,0.317061399                    ,0.317061399                    ,0.317061399                    ,0.317061399                    ,0.317061399                    ,0.317061399                    ,0.317061399                    
AUT,Austria,0.064168895                    ,0.064168895                    ,0.064168895                    ,0.064168895                    ,0.064168895                    ,0.064168895                    ,0.064168895                    ,0.064168895                    ,0.064168895                    ,0.064168895                    ,0.064168895                    ,0.064168895                    ,0.064168895                    ,0.064168895                    ,0.064168895                    ,0.064168895                    ,0.064168895                    ,0.064168895                    ,0.064168895                    ,0.064168895                    
AZE,Azerbaijan,0.149887884                    ,0.149887884                    ,0.149887884                    ,0.149887884                    ,0.149887884                    ,0.149887884                    ,0.149887884                    ,0.149887884                    ,0.149887884                    ,0.149887884                    ,0.149887884                    ,0.149887884                    ,0.149887884                    ,0.149887884                    ,0.149887884                    ,0.149887884                    ,0.149887884                    ,0.149887884                    ,0.149887884                    ,0.149887884                    
BHS,Bahamas,0.276382486                    ,0.276382486                    ,0.276382486                    ,0.276382486                    ,0.276382486                    ,0.276382486                    ,0.276382486                    ,0.276382486                    ,0.276382486                    ,0.276382486                    ,0.276382486                    ,0.276382486                    ,0.276382486                    ,0.276382486                    ,0.276382486                    ,0.276382486                    ,0.276382486                    ,0.276382486                    ,0.276382486                    ,0.276382486                    
BHR,Bahrain,0.355932113                    ,0.355932113                    ,0.355932113                    ,0.355932113                    ,0.355932113                    ,0.355932113                    ,0.355932113                    ,0.355932113                    ,0.355932113                    ,0.355932113                    ,0.355932113                    ,0.355932113                    ,0.355932113                    ,0.355932113                    ,0.355932113                    ,0.355932113                    ,0.355932113                    ,0.355932113                    ,0.355932113                    ,0.355932113                    
BGD,Bangladesh,0.256038181                    ,0.256038181                    ,0.256038181                    ,0.256038181                    ,0.256038181                    ,0.256038181                    ,0.256038181                    ,0.256038181                    ,0.256038181                    ,0.256038181                    ,0.256038181                    ,0.256038181                    ,0.256038181                    ,0.256038181                    ,0.256038181                    ,0.256038181                    ,0.256038181                    ,0.256038181                    ,0.256038181                    ,0.256038181                    
BRB,Barbados,0.098089844                    ,0.098089844                    ,0.098089844                    ,0.098089844                    ,0.098089844                    ,0.098089844                    ,0.098089844                    ,0.098089844                    ,0.098089844                    ,0.098089844                    ,0.098089844                    ,0.098089844                    ,0.098089844                    ,0.098089844                    ,0.098089844                    ,0.098089844                    ,0.098089844                    ,0.098089844                    ,0.098089844                    ,0.098089844                    
BLR,Belarus,-0.140628732                    ,-0.140628732                    ,-0.140628732                    ,-0.140628732                    ,-0.140628732                    ,-0.140628732                    ,-0.140628732                    ,-0.140628732                    ,-0.140628732                    ,-0.140628732                    ,-0.140628732                    ,-0.140628732                    ,-0.140628732                    ,-0.140628732                    ,-0.140628732                    ,-0.140628732                    ,-0.140628732                    ,-0.140628732                    ,-0.140628732                    ,-0.140628732                    
BEL,Belgium,0.067226164                    ,0.067226164                    ,0.067226164                    ,0.067226164                    ,0.067226164                    ,0.067226164                    ,0.067226164                    ,0.067226164                    ,0.067226164                    ,0.067226164                    ,0.067226164                    ,0.067226164                    ,0.067226164                    ,0.067226164                    ,0.067226164                    ,0.067226164                    ,0.067226164                    ,0.067226164                    ,0.067226164                    ,0.067226164                    
BLZ,Belize,0.612037352                    ,0.612037352                    ,0.612037352                    ,0.612037352                    ,0.612037352                    ,0.612037352                    ,0.612037352                    ,0.612037352                    ,0.612037352                    ,0.612037352                    ,0.612037352                    ,0.612037352                    ,0.612037352                    ,0.612037352                    ,0.612037352                    ,0.612037352                    ,0.612037352                    ,0.612037352                    ,0.612037352                    ,0.612037352                    
BEN,Benin,0.824672476                    ,0.824672476                    ,0.824672476                    ,0.824672476                    ,0.824672476                    ,0.824672476                    ,0.824672476                    ,0.824672476                    ,0.824672476                    ,0.824672476                    ,0.824672476                    ,0.824672476                    ,0.824672476                    ,0.824672476                    ,0.824672476                    ,0.824672476                    ,0.824672476                    ,0.824672476                    ,0.824672476                    ,0.824672476                    
BTN,Bhutan,0.284163181                    ,0.284163181                    ,0.284163181                    ,0.284163181                    ,0.284163181                    ,0.284163181                    ,0.284163181                    ,0.284163181                    ,0.284163181                    ,0.284163181                    ,0.284163181                    ,0.284163181                    ,0.284163181                    ,0.284163181                    ,0.284163181                    ,0.284163181                    ,0.284163181                    ,0.284163181                    ,0.284163181                    ,0.284163181                    
BOL,"Bolivia, Plurinational State of",0.426651823                    ,0.426651823                    ,0.426651823                    ,0.426651823                    ,0.426651823                    ,0.426651823                    ,0.426651823                    ,0.426651823                    ,0.426651823                    ,0.426651823                    ,0.426651823                    ,0.426651823                    ,0.426651823                    ,0.426651823                    ,0.426651823                    ,0.426651823                    ,0.426651823                    ,0.426651823                    ,0.426651823                    ,0.426651823                    
BIH,Bosnia and Herzegovina,-0.065202018                    ,-0.065202018                    ,-0.065202018                    ,-0.065202018                    ,-0.065202018                    ,-0.065202018                    ,-0.065202018                    ,-0.065202018                    ,-0.065202018                    ,-0.065202018                    ,-0.065202018                    ,-0.065202018                    ,-0.065202018                    ,-0.065202018                    ,-0.065202018                    ,-0.065202018                    ,-0.065202018                    ,-0.065202018                    ,-0.065202018                    ,-0.065202018                    
BWA,Botswana,0.253600401                    ,0.253600401                    ,0.253600401                    ,0.253600401                    ,0.253600401                    ,0.253600401                    ,0.253600401                    ,0.253600401                    ,0.253600401                    ,0.253600401                    ,0.253600401                    ,0.253600401                    ,0.253600401                    ,0.253600401                    ,0.253600401                    ,0.253600401                    ,0.253600401                    ,0.253600401                    ,0.253600401                    ,0.253600401                    
BRA,Brazil,0.153400384                    ,0.153400384                    ,0.153400384                    ,0.153400384                    ,0.153400384                    ,0.153400384                    ,0.153400384                    ,0.153400384                    ,0.153400384                    ,0.153400384                    ,0.153400384                    ,0.153400384                    ,0.153400384                    ,0.153400384                    ,0.153400384                    ,0.153400384                    ,0.153400384                    ,0.153400384                    ,0.153400384                    ,0.153400384                    
BRN,Brunei Darussalam,0.28076145                    ,0.28076145                    ,0.28076145                    ,0.28076145                    ,0.28076145                    ,0.28076145                    ,0.28076145                    ,0.28076145                    ,0.28076145                    ,0.28076145                    ,0.28076145                    ,0.28076145                    ,0.28076145                    ,0.28076145                    ,0.28076145                    ,0.28076145                    ,0.28076145                    ,0.28076145                    ,0.28076145                    ,0.28076145                    
BGR,Bulgaria,-0.202719527                    ,-0.202719527                    ,-0.202719527                    ,-0.202719527                    ,-0.202719527                    ,-0.202719527                    ,-0.202719527                    ,-0.202719527                    ,-0.202719527                    ,-0.202719527                    ,-0.202719527                    ,-0.202719527                    ,-0.202719527                    ,-0.202719527                    ,-0.202719527                    ,-0.202719527                    ,-0.202719527                    ,-0.202719527                    ,-0.202719527                    ,-0.202719527                    
BFA,Burkina Faso,0.965185021                    ,0.965185021                    ,0.965185021                    ,0.965185021                    ,0.965185021                    ,0.965185021                    ,0.965185021                    ,0.965185021                    ,0.965185021                    ,0.965185021                    ,0.965185021                    ,0.965185021                    ,0.965185021                    ,0.965185021                    ,0.965185021                    ,0.965185021                    ,0.965185021                    ,0.965185021                    ,0.965185021                    ,0.965185021                    
BDI,Burundi,1.080856418                    ,1.080856418                    ,1.080856418                    ,1.080856418                    ,1.080856418                    ,1.080856418                    ,1.080856418                    ,1.080856418                    ,1.080856418                    ,1.080856418                    ,1.080856418                    ,1.080856418                    ,1.080856418                    ,1.080856418                    ,1.080856418                    ,1.080856418                    ,1.080856418                    ,1.080856418                    ,1.080856418                    ,1.080856418                    
KHM,Cambodia,0.399461415                    ,0.399461415                    ,0.399461415                    ,0.399461415                    ,0.399461415                    ,0.399461415                    ,0.399461415                    ,0.399461415                    ,0.399461415                    ,0.399461415                    ,0.399461415                    ,0.399461415                    ,0.399461415                    ,0.399461415                    ,0.399461415                    ,0.399461415                    ,0.399461415                    ,0.399461415                    ,0.399461415                    ,0.399461415                    
CMR,Cameroon,0.81199469                    ,0.81199469                    ,0.81199469                    ,0.81199469                    ,0.81199469                    ,0.81199469                    ,0.81199469                    ,0.81199469                    ,0.81199469                    ,0.81199469                    ,0.81199469                    ,0.81199469                    ,0.81199469                    ,0.81199469                    ,0.81199469                    ,0.81199469                    ,0.81199469                    ,0.81199469                    ,0.81199469                    ,0.81199469                    
CAN,Canada,0.217437625                    ,0.217437625                    ,0.217437625                    ,0.217437625                    ,0.217437625                    ,0.217437625                    ,0.217437625                    ,0.217437625                    ,0.217437625                    ,0.217437625                    ,0.217437625                    ,0.217437625                    ,0.217437625                    ,0.217437625                    ,0.217437625                    ,0.217437625                    ,0.217437625                    ,0.217437625                    ,0.217437625                    ,0.217437625                    
CPV,Cape Verde,0.21745717                    ,0.21745717                    ,0.21745717                    ,0.21745717                    ,0.21745717                    ,0.21745717                    ,0.21745717                    ,0.21745717                    ,0.21745717                    ,0.21745717                    ,0.21745717                    ,0.21745717                    ,0.21745717                    ,0.21745717                    ,0.21745717                    ,0.21745717                    ,0.21745717                    ,0.21745717                    ,0.21745717                    ,0.21745717                    
CAF,Central African Republic,0.590902455                    ,0.590902455                    ,0.590902455                    ,0.590902455                    ,0.590902455                    ,0.590902455                    ,0.590902455                    ,0.590902455                    ,0.590902455                    ,0.590902455                    ,0.590902455                    ,0.590902455                    ,0.590902455                    ,0.590902455                    ,0.590902455                    ,0.590902455                    ,0.590902455                    ,0.590902455                    ,0.590902455                    ,0.590902455                    
TCD,Chad,1.078806296                    ,1.078806296                    ,1.078806296                    ,1.078806296                    ,1.078806296                    ,1.078806296                    ,1.078806296                    ,1.078806296                    ,1.078806296                    ,1.078806296                    ,1.078806296                    ,1.078806296                    ,1.078806296                    ,1.078806296                    ,1.078806296                    ,1.078806296                    ,1.078806296                    ,1.078806296                    ,1.078806296                    ,1.078806296                    
CHL,Chile,0.172018033                    ,0.172018033                    ,0.172018033                    ,0.172018033                    ,0.172018033                    ,0.172018033                    ,0.172018033                    ,0.172018033                    ,0.172018033                    ,0.172018033                    ,0.172018033                    ,0.172018033                    ,0.172018033                    ,0.172018033                    ,0.172018033                    ,0.172018033                    ,0.172018033                    ,0.172018033                    ,0.172018033                    ,0.172018033                    
CHN,China,0.052342058                    ,0.052342058                    ,0.052342058                    ,0.052342058                    ,0.052342058                    ,0.052342058                    ,0.052342058                    ,0.052342058                    ,0.052342058                    ,0.052342058                    ,0.052342058                    ,0.052342058                    ,0.052342058                    ,0.052342058                    ,0.052342058                    ,0.052342058                    ,0.052342058                    ,0.052342058                    ,0.052342058                    ,0.052342058                    
COL,Colombia,0.26666787                    ,0.26666787                    ,0.26666787                    ,0.26666787                    ,0.26666787                    ,0.26666787                    ,0.26666787                    ,0.26666787                    ,0.26666787                    ,0.26666787                    ,0.26666787                    ,0.26666787                    ,0.26666787                    ,0.26666787                    ,0.26666787                    ,0.26666787                    ,0.26666787                    ,0.26666787                    ,0.26666787                    ,0.26666787                    
COM,Comoros,0.732737406                    ,0.732737406                    ,0.732737406                    ,0.732737406                    ,0.732737406                    ,0.732737406                    ,0.732737406                    ,0.732737406                    ,0.732737406                    ,0.732737406                    ,0.732737406                    ,0.732737406                    ,0.732737406                    ,0.732737406                    ,0.732737406                    ,0.732737406                    ,0.732737406                    ,0.732737406                    ,0.732737406                    ,0.732737406                    
COG,Congo,0.89967771                    ,0.89967771                    ,0.89967771                    ,0.89967771                    ,0.89967771                    ,0.89967771                    ,0.89967771                    ,0.89967771                    ,0.89967771                    ,0.89967771                    ,0.89967771                    ,0.89967771                    ,0.89967771                    ,0.89967771                    ,0.89967771                    ,0.89967771                    ,0.89967771                    ,0.89967771                    ,0.89967771                    ,0.89967771                    
COD,"Congo, the Democratic Republic o",0.897216551                    ,0.897216551                    ,0.897216551                    ,0.897216551                    ,0.897216551                    ,0.897216551                    ,0.897216551                    ,0.897216551                    ,0.897216551                    ,0.897216551                    ,0.897216551                    ,0.897216551                    ,0.897216551                    ,0.897216551                    ,0.897216551                    ,0.897216551                    ,0.897216551                    ,0.897216551                    ,0.897216551                    ,0.897216551                    
CRI,Costa Rica,0.259385447                    ,0.259385447                    ,0.259385447                    ,0.259385447                    ,0.259385447                    ,0.259385447                    ,0.259385447                    ,0.259385447                    ,0.259385447                    ,0.259385447                    ,0.259385447                    ,0.259385447                    ,0.259385447                    ,0.259385447                    ,0.259385447                    ,0.259385447                    ,0.259385447                    ,0.259385447                    ,0.259385447                    ,0.259385447                    
CIV,Cote d'Ivoire,0.72963127                    ,0.72963127                    ,0.72963127                    ,0.72963127                    ,0.72963127                    ,0.72963127                    ,0.72963127                    ,0.72963127                    ,0.72963127                    ,0.72963127                    ,0.72963127                    ,0.72963127                    ,0.72963127                    ,0.72963127                    ,0.72963127                    ,0.72963127                    ,0.72963127                    ,0.72963127                    ,0.72963127                    ,0.72963127                    
HRV,Croatia,-0.107176205                    ,-0.107176205                    ,-0.107176205                    ,-0.107176205                    ,-0.107176205                    ,-0.107176205                    ,-0.107176205                    ,-0.107176205                    ,-0.107176205                    ,-0.107176205                    ,-0.107176205                    ,-0.107176205                    ,-0.107176205                    ,-0.107176205                    ,-0.107176205                    ,-0.107176205                    ,-0.107176205                    ,-0.107176205                    ,-0.107176205                    ,-0.107176205                    
CUB,Cuba,-0.073363324                    ,-0.073363324                    ,-0.073363324                    ,-0.073363324                    ,-0.073363324                    ,-0.073363324                    ,-0.073363324                    ,-0.073363324                    ,-0.073363324                    ,-0.073363324                    ,-0.073363324                    ,-0.073363324                    ,-0.073363324                    ,-0.073363324                    ,-0.073363324                    ,-0.073363324                    ,-0.073363324                    ,-0.073363324                    ,-0.073363324                    ,-0.073363324                    
CYP,Cyprus,0.196355844                    ,0.196355844                    ,0.196355844                    ,0.196355844                    ,0.196355844                    ,0.196355844                    ,0.196355844                    ,0.196355844                    ,0.196355844                    ,0.196355844                    ,0.196355844                    ,0.196355844                    ,0.196355844                    ,0.196355844                    ,0.196355844                    ,0.196355844                    ,0.196355844                    ,0.196355844                    ,0.196355844                    ,0.196355844                    
CZE,Czech Republic,0.047553036                    ,0.047553036                    ,0.047553036                    ,0.047553036                    ,0.047553036                    ,0.047553036                    ,0.047553036                    ,0.047553036                    ,0.047553036                    ,0.047553036                    ,0.047553036                    ,0.047553036                    ,0.047553036                    ,0.047553036                    ,0.047553036                    ,0.047553036                    ,0.047553036                    ,0.047553036                    ,0.047553036                    ,0.047553036                    
DNK,Denmark,0.08612911                    ,0.08612911                    ,0.08612911                    ,0.08612911                    ,0.08612911                    ,0.08612911                    ,0.08612911                    ,0.08612911                    ,0.08612911                    ,0.08612911                    ,0.08612911                    ,0.08612911                    ,0.08612911                    ,0.08612911                    ,0.08612911                    ,0.08612911                    ,0.08612911                    ,0.08612911                    ,0.08612911                    ,0.08612911                    
DJI,Djibouti,0.345625369                    ,0.345625369                    ,0.345625369                    ,0.345625369                    ,0.345625369                    ,0.345625369                    ,0.345625369                    ,0.345625369                    ,0.345625369                    ,0.345625369                    ,0.345625369                    ,0.345625369                    ,0.345625369                    ,0.345625369                    ,0.345625369                    ,0.345625369                    ,0.345625369                    ,0.345625369                    ,0.345625369                    ,0.345625369                    
DMA,Dominica,0.075404799                    ,0.075404799                    ,0.075404799                    ,0.075404799                    ,0.075404799                    ,0.075404799                    ,0.075404799                    ,0.075404799                    ,0.075404799                    ,0.075404799                    ,0.075404799                    ,0.075404799                    ,0.075404799                    ,0.075404799                    ,0.075404799                    ,0.075404799                    ,0.075404799                    ,0.075404799                    ,0.075404799                    ,0.075404799                    
DOM,Dominican Republic,0.251095202                    ,0.251095202                    ,0.251095202                    ,0.251095202                    ,0.251095202                    ,0.251095202                    ,0.251095202                    ,0.251095202                    ,0.251095202                    ,0.251095202                    ,0.251095202                    ,0.251095202                    ,0.251095202                    ,0.251095202                    ,0.251095202                    ,0.251095202                    ,0.251095202                    ,0.251095202                    ,0.251095202                    ,0.251095202                    
ECU,Ecuador,0.373904034                    ,0.373904034                    ,0.373904034                    ,0.373904034                    ,0.373904034                    ,0.373904034                    ,0.373904034                    ,0.373904034                    ,0.373904034                    ,0.373904034                    ,0.373904034                    ,0.373904034                    ,0.373904034                    ,0.373904034                    ,0.373904034                    ,0.373904034                    ,0.373904034                    ,0.373904034                    ,0.373904034                    ,0.373904034                    
EGY,Egypt,0.382892839                    ,0.382892839                    ,0.382892839                    ,0.382892839                    ,0.382892839                    ,0.382892839                    ,0.382892839                    ,0.382892839                    ,0.382892839                    ,0.382892839                    ,0.382892839                    ,0.382892839                    ,0.382892839                    ,0.382892839                    ,0.382892839                    ,0.382892839                    ,0.382892839                    ,0.382892839                    ,0.382892839                    ,0.382892839                    
SLV,El Salvador,0.107475722                    ,0.107475722                    ,0.107475722                    ,0.107475722                    ,0.107475722                    ,0.107475722                    ,0.107475722                    ,0.107475722                    ,0.107475722                    ,0.107475722                    ,0.107475722                    ,0.107475722                    ,0.107475722                    ,0.107475722                    ,0.107475722                    ,0.107475722                    ,0.107475722                    ,0.107475722                    ,0.107475722                    ,0.107475722                    
GNQ,Equatorial Guinea,0.827578728                    ,0.827578728                    ,0.827578728                    ,0.827578728                    ,0.827578728                    ,0.827578728                    ,0.827578728                    ,0.827578728                    ,0.827578728                    ,0.827578728                    ,0.827578728                    ,0.827578728                    ,0.827578728                    ,0.827578728                    ,0.827578728                    ,0.827578728                    ,0.827578728                    ,0.827578728                    ,0.827578728                    ,0.827578728                    
ERI,Eritrea,0.92512232                    ,0.92512232                    ,0.92512232                    ,0.92512232                    ,0.92512232                    ,0.92512232                    ,0.92512232                    ,0.92512232                    ,0.92512232                    ,0.92512232                    ,0.92512232                    ,0.92512232                    ,0.92512232                    ,0.92512232                    ,0.92512232                    ,0.92512232                    ,0.92512232                    ,0.92512232                    ,0.92512232                    ,0.92512232                    
EST,Estonia,-0.0927355                    ,-0.0927355                    ,-0.0927355                    ,-0.0927355                    ,-0.0927355                    ,-0.0927355                    ,-0.0927355                    ,-0.0927355                    ,-0.0927355                    ,-0.0927355                    ,-0.0927355                    ,-0.0927355                    ,-0.0927355                    ,-0.0927355                    ,-0.0927355                    ,-0.0927355                    ,-0.0927355                    ,-0.0927355                    ,-0.0927355                    ,-0.0927355                    
ETH,Ethiopia,0.74074414                    ,0.74074414                    ,0.74074414                    ,0.74074414                    ,0.74074414                    ,0.74074414                    ,0.74074414                    ,0.74074414                    ,0.74074414                    ,0.74074414                    ,0.74074414                    ,0.74074414                    ,0.74074414                    ,0.74074414                    ,0.74074414                    ,0.74074414                    ,0.74074414                    ,0.74074414                    ,0.74074414                    ,0.74074414                    
FJI,Fiji,0.085418509                    ,0.085418509                    ,0.085418509                    ,0.085418509                    ,0.085418509                    ,0.085418509                    ,0.085418509                    ,0.085418509                    ,0.085418509                    ,0.085418509                    ,0.085418509                    ,0.085418509                    ,0.085418509                    ,0.085418509                    ,0.085418509                    ,0.085418509                    ,0.085418509                    ,0.085418509                    ,0.085418509                    ,0.085418509                    
FIN,Finland,0.045260501                    ,0.045260501                    ,0.045260501                    ,0.045260501                    ,0.045260501                    ,0.045260501                    ,0.045260501                    ,0.045260501                    ,0.045260501                    ,0.045260501                    ,0.045260501                    ,0.045260501                    ,0.045260501                    ,0.045260501                    ,0.045260501                    ,0.045260501                    ,0.045260501                    ,0.045260501                    ,0.045260501                    ,0.045260501                    
FRA,France,0.096236373                    ,0.096236373                    ,0.096236373                    ,0.096236373                    ,0.096236373                    ,0.096236373                    ,0.096236373                    ,0.096236373                    ,0.096236373                    ,0.096236373                    ,0.096236373                    ,0.096236373                    ,0.096236373                    ,0.096236373                    ,0.096236373                    ,0.096236373                    ,0.096236373                    ,0.096236373                    ,0.096236373                    ,0.096236373                    
GAB,Gabon,0.695280836                    ,0.695280836                    ,0.695280836                    ,0.695280836                    ,0.695280836                    ,0.695280836                    ,0.695280836                    ,0.695280836                    ,0.695280836                    ,0.695280836                    ,0.695280836                    ,0.695280836                    ,0.695280836                    ,0.695280836                    ,0.695280836                    ,0.695280836                    ,0.695280836                    ,0.695280836                    ,0.695280836                    ,0.695280836                    
