ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
BIH,Bosnia and Herzegovina,0.729                    ,0.729                    ,0.729                    ,0.729                    ,0.729                    ,0.729                    ,0.729                    ,0.729                    ,0.729                    ,0.729                    ,0.729                    ,0.729                    ,0.729                    ,0.729                    ,0.729                    ,0.729                    ,0.729                    ,0.729                    ,0.731                    ,0.731                    
BWA,Botswana,0.681                    ,0.681                    ,0.681                    ,0.681                    ,0.681                    ,0.681                    ,0.681                    ,0.681                    ,0.681                    ,0.681                    ,0.681                    ,0.681                    ,0.681                    ,0.681                    ,0.681                    ,0.681                    ,0.681                    ,0.681                    ,0.683                    ,0.683                    
BRA,Brazil,0.742                    ,0.742                    ,0.742                    ,0.742                    ,0.742                    ,0.742                    ,0.742                    ,0.742                    ,0.742                    ,0.742                    ,0.742                    ,0.742                    ,0.742                    ,0.742                    ,0.742                    ,0.742                    ,0.742                    ,0.742                    ,0.744                    ,0.744                    
BRN,Brunei Darussalam,0.852                    ,0.852                    ,0.852                    ,0.852                    ,0.852                    ,0.852                    ,0.852                    ,0.852                    ,0.852                    ,0.852                    ,0.852                    ,0.852                    ,0.852                    ,0.852                    ,0.852                    ,0.852                    ,0.852                    ,0.852                    ,0.852                    ,0.852                    
BGR,Bulgaria,0.776                    ,0.776                    ,0.776                    ,0.776                    ,0.776                    ,0.776                    ,0.776                    ,0.776                    ,0.776                    ,0.776                    ,0.776                    ,0.776                    ,0.776                    ,0.776                    ,0.776                    ,0.776                    ,0.776                    ,0.776                    ,0.777                    ,0.777                    
BFA,Burkina Faso,0.385                    ,0.385                    ,0.385                    ,0.385                    ,0.385                    ,0.385                    ,0.385                    ,0.385                    ,0.385                    ,0.385                    ,0.385                    ,0.385                    ,0.385                    ,0.385                    ,0.385                    ,0.385                    ,0.385                    ,0.385                    ,0.388                    ,0.388                    
BDI,Burundi,0.386                    ,0.386                    ,0.386                    ,0.386                    ,0.386                    ,0.386                    ,0.386                    ,0.386                    ,0.386                    ,0.386                    ,0.386                    ,0.386                    ,0.386                    ,0.386                    ,0.386                    ,0.386                    ,0.386                    ,0.386                    ,0.389                    ,0.389                    
KHM,Cambodia,0.579                    ,0.579                    ,0.579                    ,0.579                    ,0.579                    ,0.579                    ,0.579                    ,0.579                    ,0.579                    ,0.579                    ,0.579                    ,0.579                    ,0.579                    ,0.579                    ,0.579                    ,0.579                    ,0.579                    ,0.579                    ,0.584                    ,0.584                    
CMR,Cameroon,0.501                    ,0.501                    ,0.501                    ,0.501                    ,0.501                    ,0.501                    ,0.501                    ,0.501                    ,0.501                    ,0.501                    ,0.501                    ,0.501                    ,0.501                    ,0.501                    ,0.501                    ,0.501                    ,0.501                    ,0.501                    ,0.504                    ,0.504                    
CAN,Canada,0.901                    ,0.901                    ,0.901                    ,0.901                    ,0.901                    ,0.901                    ,0.901                    ,0.901                    ,0.901                    ,0.901                    ,0.901                    ,0.901                    ,0.901                    ,0.901                    ,0.901                    ,0.901                    ,0.901                    ,0.901                    ,0.902                    ,0.902                    
CPV,Cape Verde,0.635                    ,0.635                    ,0.635                    ,0.635                    ,0.635                    ,0.635                    ,0.635                    ,0.635                    ,0.635                    ,0.635                    ,0.635                    ,0.635                    ,0.635                    ,0.635                    ,0.635                    ,0.635                    ,0.635                    ,0.635                    ,0.636                    ,0.636                    
CAF,Central African Republic,0.365                    ,0.365                    ,0.365                    ,0.365                    ,0.365                    ,0.365                    ,0.365                    ,0.365                    ,0.365                    ,0.365                    ,0.365                    ,0.365                    ,0.365                    ,0.365                    ,0.365                    ,0.365                    ,0.365                    ,0.365                    ,0.341                    ,0.341                    
TCD,Chad,0.37                    ,0.37                    ,0.37                    ,0.37                    ,0.37                    ,0.37                    ,0.37                    ,0.37                    ,0.37                    ,0.37                    ,0.37                    ,0.37                    ,0.37                    ,0.37                    ,0.37                    ,0.37                    ,0.37                    ,0.37                    ,0.372                    ,0.372                    
CHL,Chile,0.819                    ,0.819                    ,0.819                    ,0.819                    ,0.819                    ,0.819                    ,0.819                    ,0.819                    ,0.819                    ,0.819                    ,0.819                    ,0.819                    ,0.819                    ,0.819                    ,0.819                    ,0.819                    ,0.819                    ,0.819                    ,0.822                    ,0.822                    
CHN,China,0.715                    ,0.715                    ,0.715                    ,0.715                    ,0.715                    ,0.715                    ,0.715                    ,0.715                    ,0.715                    ,0.715                    ,0.715                    ,0.715                    ,0.715                    ,0.715                    ,0.715                    ,0.715                    ,0.715                    ,0.715                    ,0.719                    ,0.719                    
COL,Colombia,0.708                    ,0.708                    ,0.708                    ,0.708                    ,0.708                    ,0.708                    ,0.708                    ,0.708                    ,0.708                    ,0.708                    ,0.708                    ,0.708                    ,0.708                    ,0.708                    ,0.708                    ,0.708                    ,0.708                    ,0.708                    ,0.711                    ,0.711                    
COM,Comoros,0.486                    ,0.486                    ,0.486                    ,0.486                    ,0.486                    ,0.486                    ,0.486                    ,0.486                    ,0.486                    ,0.486                    ,0.486                    ,0.486                    ,0.486                    ,0.486                    ,0.486                    ,0.486                    ,0.486                    ,0.486                    ,0.488                    ,0.488                    
COG,Congo,0.561                    ,0.561                    ,0.561                    ,0.561                    ,0.561                    ,0.561                    ,0.561                    ,0.561                    ,0.561                    ,0.561                    ,0.561                    ,0.561                    ,0.561                    ,0.561                    ,0.561                    ,0.561                    ,0.561                    ,0.561                    ,0.564                    ,0.564                    
COD,"Congo, the Democratic Rep",0.333                    ,0.333                    ,0.333                    ,0.333                    ,0.333                    ,0.333                    ,0.333                    ,0.333                    ,0.333                    ,0.333                    ,0.333                    ,0.333                    ,0.333                    ,0.333                    ,0.333                    ,0.333                    ,0.333                    ,0.333                    ,0.338                    ,0.338                    
CRI,Costa Rica,0.761                    ,0.761                    ,0.761                    ,0.761                    ,0.761                    ,0.761                    ,0.761                    ,0.761                    ,0.761                    ,0.761                    ,0.761                    ,0.761                    ,0.761                    ,0.761                    ,0.761                    ,0.761                    ,0.761                    ,0.761                    ,0.763                    ,0.763                    
CIV,Cote d'Ivoire,0.448                    ,0.448                    ,0.448                    ,0.448                    ,0.448                    ,0.448                    ,0.448                    ,0.448                    ,0.448                    ,0.448                    ,0.448                    ,0.448                    ,0.448                    ,0.448                    ,0.448                    ,0.448                    ,0.448                    ,0.448                    ,0.452                    ,0.452                    
HRV,Croatia,0.812                    ,0.812                    ,0.812                    ,0.812                    ,0.812                    ,0.812                    ,0.812                    ,0.812                    ,0.812                    ,0.812                    ,0.812                    ,0.812                    ,0.812                    ,0.812                    ,0.812                    ,0.812                    ,0.812                    ,0.812                    ,0.812                    ,0.812                    
CUB,Cuba,0.813                    ,0.813                    ,0.813                    ,0.813                    ,0.813                    ,0.813                    ,0.813                    ,0.813                    ,0.813                    ,0.813                    ,0.813                    ,0.813                    ,0.813                    ,0.813                    ,0.813                    ,0.813                    ,0.813                    ,0.813                    ,0.815                    ,0.815                    
CYP,Cyprus,0.848                    ,0.848                    ,0.848                    ,0.848                    ,0.848                    ,0.848                    ,0.848                    ,0.848                    ,0.848                    ,0.848                    ,0.848                    ,0.848                    ,0.848                    ,0.848                    ,0.848                    ,0.848                    ,0.848                    ,0.848                    ,0.845                    ,0.845                    
CZE,Czech Republic,0.861                    ,0.861                    ,0.861                    ,0.861                    ,0.861                    ,0.861                    ,0.861                    ,0.861                    ,0.861                    ,0.861                    ,0.861                    ,0.861                    ,0.861                    ,0.861                    ,0.861                    ,0.861                    ,0.861                    ,0.861                    ,0.861                    ,0.861                    
DNK,Denmark,0.9                    ,0.9                    ,0.9                    ,0.9                    ,0.9                    ,0.9                    ,0.9                    ,0.9                    ,0.9                    ,0.9                    ,0.9                    ,0.9                    ,0.9                    ,0.9                    ,0.9                    ,0.9                    ,0.9                    ,0.9                    ,0.9                    ,0.9                    
DJI,Djibouti,0.465                    ,0.465                    ,0.465                    ,0.465                    ,0.465                    ,0.465                    ,0.465                    ,0.465                    ,0.465                    ,0.465                    ,0.465                    ,0.465                    ,0.465                    ,0.465                    ,0.465                    ,0.465                    ,0.465                    ,0.465                    ,0.467                    ,0.467                    
DMA,Dominica,0.716                    ,0.716                    ,0.716                    ,0.716                    ,0.716                    ,0.716                    ,0.716                    ,0.716                    ,0.716                    ,0.716                    ,0.716                    ,0.716                    ,0.716                    ,0.716                    ,0.716                    ,0.716                    ,0.716                    ,0.716                    ,0.717                    ,0.717                    
DOM,Dominican Republic,0.698                    ,0.698                    ,0.698                    ,0.698                    ,0.698                    ,0.698                    ,0.698                    ,0.698                    ,0.698                    ,0.698                    ,0.698                    ,0.698                    ,0.698                    ,0.698                    ,0.698                    ,0.698                    ,0.698                    ,0.698                    ,0.7                    ,0.7                    
ECU,Ecuador,0.708                    ,0.708                    ,0.708                    ,0.708                    ,0.708                    ,0.708                    ,0.708                    ,0.708                    ,0.708                    ,0.708                    ,0.708                    ,0.708                    ,0.708                    ,0.708                    ,0.708                    ,0.708                    ,0.708                    ,0.708                    ,0.711                    ,0.711                    
EGY,Egypt,0.681                    ,0.681                    ,0.681                    ,0.681                    ,0.681                    ,0.681                    ,0.681                    ,0.681                    ,0.681                    ,0.681                    ,0.681                    ,0.681                    ,0.681                    ,0.681                    ,0.681                    ,0.681                    ,0.681                    ,0.681                    ,0.682                    ,0.682                    
SLV,El Salvador,0.66                    ,0.66                    ,0.66                    ,0.66                    ,0.66                    ,0.66                    ,0.66                    ,0.66                    ,0.66                    ,0.66                    ,0.66                    ,0.66                    ,0.66                    ,0.66                    ,0.66                    ,0.66                    ,0.66                    ,0.66                    ,0.662                    ,0.662                    
GNQ,Equatorial Guinea,0.556                    ,0.556                    ,0.556                    ,0.556                    ,0.556                    ,0.556                    ,0.556                    ,0.556                    ,0.556                    ,0.556                    ,0.556                    ,0.556                    ,0.556                    ,0.556                    ,0.556                    ,0.556                    ,0.556                    ,0.556                    ,0.556                    ,0.556                    
ERI,Eritrea,0.38                    ,0.38                    ,0.38                    ,0.38                    ,0.38                    ,0.38                    ,0.38                    ,0.38                    ,0.38                    ,0.38                    ,0.38                    ,0.38                    ,0.38                    ,0.38                    ,0.38                    ,0.38                    ,0.38                    ,0.38                    ,0.381                    ,0.381                    
EST,Estonia,0.839                    ,0.839                    ,0.839                    ,0.839                    ,0.839                    ,0.839                    ,0.839                    ,0.839                    ,0.839                    ,0.839                    ,0.839                    ,0.839                    ,0.839                    ,0.839                    ,0.839                    ,0.839                    ,0.839                    ,0.839                    ,0.84                    ,0.84                    
ETH,Ethiopia,0.429                    ,0.429                    ,0.429                    ,0.429                    ,0.429                    ,0.429                    ,0.429                    ,0.429                    ,0.429                    ,0.429                    ,0.429                    ,0.429                    ,0.429                    ,0.429                    ,0.429                    ,0.429                    ,0.429                    ,0.429                    ,0.435                    ,0.435                    
FJI,Fiji,0.722                    ,0.722                    ,0.722                    ,0.722                    ,0.722                    ,0.722                    ,0.722                    ,0.722                    ,0.722                    ,0.722                    ,0.722                    ,0.722                    ,0.722                    ,0.722                    ,0.722                    ,0.722                    ,0.722                    ,0.722                    ,0.724                    ,0.724                    
FIN,Finland,0.879                    ,0.879                    ,0.879                    ,0.879                    ,0.879                    ,0.879                    ,0.879                    ,0.879                    ,0.879                    ,0.879                    ,0.879                    ,0.879                    ,0.879                    ,0.879                    ,0.879                    ,0.879                    ,0.879                    ,0.879                    ,0.879                    ,0.879                    
FRA,France,0.884                    ,0.884                    ,0.884                    ,0.884                    ,0.884                    ,0.884                    ,0.884                    ,0.884                    ,0.884                    ,0.884                    ,0.884                    ,0.884                    ,0.884                    ,0.884                    ,0.884                    ,0.884                    ,0.884                    ,0.884                    ,0.884                    ,0.884                    
